iso_2,lyrics,iso_a3
BE,"O Belgium, dear mother, To you our hearts, to you our arms, To you our blood, o fatherland! We all vow: you will live! You will always live in grandeur and beauty And the immortal motto  Of your invincible unity will be: For King, Right and Liberty! Of your invincible unity will be: For King, Right and Liberty! For King, Right and Liberty! For King, Right and Liberty!",BEL
BF," Against the humiliating bondage of a thousand years Rapacity came from afar to subjugate them for a hundred years Against the cynical malice in the shape Of neo-colonialism and its petty local servants Many gave in and certain others resisted But the frustrations, the successes, the sweat, the blood Have fortified our courageous people and fertilized its heroic struggle    And one single night has drawn together The history of an entire people, And one single night has launched its triumphal march Towards the horizon of good fortune One single night has brought together our people With all the peoples of the World, In the acquisition of liberty and progress Motherland or death, we shall conquer  Nourished in the lively source of the Revolution, The volunteers for liberty and peace With their nocturnal and beneficial energies of the  of August Had not only hand arms, but also and above all The flame in their hearts lawfully to free Faso forever from the fetters of those who Here and there were polluting the sacred soul of independence and sovereignty   And seated henceforth in rediscovered dignity, Love and honour partnered with humanity, The people of Burkina sing a victory hymn To the glory of the work of liberation and emancipation Down with exploitation of man by man! Forward for the good of every man By all men of today and tomorrow, by every man here and always!   Popular revolution our nourishing sap Undying motherhood of progress in the face of man Eternal hearth of agreed democracy, Where at last national identity has the right of freedom Where injustice has lost its place forever, And where from the hands of builders of a glorious world Everywhere the harvests of patriotic vows ripen and suns of boundless joy shine ",BFA
BG,"Proud Balkan mountains, next to them the Danube flows, the sun sheds its light over Thrace, shining over Pirin  Dear native land, you are paradise on earth, your beauty and your charm, ah, they never end  Dear native land, you are paradise on earth, your beauty and your charm, ah, they never end",BGR
BI,"Beloved Burundi, gentle country, Take your place in the concert of nations, Acceding to independence with honourable intentions Wounded and bruised, you have remained master of yourself  When the hour came, you arose, Lifting yourself proudly into the ranks of free peoples Receive, then, the congratulations of the nations And the homage of your sons May your name ring out through the universe  Beloved Burundi, sacred heritage from our forefathers, Recognized as worthy of self-government, With your courage you also have a sense of honour Sing the glory of liberty conquered again  Beloved Burundi, worthy of our tenderest love, We vow to your noble service our hands and hearts and lives May God, who gave you to us, keep you for us to venerate, Under the shield of unity, In peace, joy and prosperity",BDI
BJ," Children of Benin, arise! The resounding cry of freedom Is heard at the first light of dawn; Children of Benin, arise!  Formerly, at her call, our ancestors Knew how to engage in mighty battles With strength, courage, ardour, and full of joy, but at the price of blood Builders of the present, you too, join forces Each day for the task stronger in unity Build without ceasing for posterity   When all around there blows a wind of anger and hate: Citizen of Benin, be proud, and in a calm spirit Trusting in the future, behold your flag! In the green you read hope of spring; The red signifies the courage of your ancestors; The yellow foretells the richest treasures   Beloved Benin, your sunny mountains, palm trees, and green pastures Show everywhere your brightness; Your soil offers everyone the richest fruits Benin, from henceforth your sons are united With one brotherly spirit sharing the hope of seeing you Enjoy abundance and happiness for ever ",BEN
BL," Isle forgotten by the gods, unknown by the men, You were sleeping, languid, waiting for a given name, When the drum of the feet trampling your blond coves, Tore you out of your dream and opened you to the world  Ouanalao or Saint Barthélemy Isle of the Antilles and isle of France Don’t give up your faith, don’t give up your hope Your freedom remains our motto  Arawaks, Caraibes, Bretons and pirates English, Flemish, French, Spanish and settlers Canoes, caravelles, galiotes and galions Have written your history at the bottom of your bays   Your children, seamen they were, went from isle to isle To catch elsewhere the fortune you didn’t give to them But from the kings’ words, Swedish and then French They received as inheritance honor and dignity   Land of hope, of fire, of pain and of spirit Defying the ocean, the winds, the hurricanes Without complaint your daughters and sons they rebuild As their parents have always done before them   To your barren hills give your beautiful beaches To your years of drought, your hours of plenty To your exiled sons their strength and their power To your moments of doubts the word of the wise men ",BLM
BM, Hail to Bermuda My island in the sun Sing out in glory To the nation we’ve become We’ve grown from heart to heart And strength to strength This privilege is mine To sing long live Bermuda Because this island’s mine  Hail to Bermuda My homeland dear to me This is my own land Built on strength and unity We’ve grown from heart to heart And strength to strength For loyalty is prime And sing long live Bermuda Because this island’s mine!,BMU
BN,"God bless His Majesty With a long life Justly and nobly rule the Kingdom And lead our people happily forever Peacefully be, the Kingdom and Sultan Lord, save Brunei, the abode of peace",BRN
BO," Bolivians, a most favorable destiny has at long last crowned our vows and longings; This land is free, free at last Its servile state has now finally ceased The martial turmoil of yesterday, and the horrible clamor of war, are followed today, in harmonious contrast, by sweet hymns of peace and unity Are followed today, in harmonious contrast, by sweet hymns of peace and unity   Let us keep the lofty name of our country in glorious splendor And, on its altars, once more we must swear: to die before we would live as slaves To die before we would live as slaves To die before we would live as slaves  Eternal praise to the brave warriors whose heroic valor and firmness conquered the freedom and glories that now a happy Bolivia justly begins to enjoy! Let their names, preserved forever in marble and bronze, transmit their glory to remote future ages And in resounding song let them repeat their simple call: Freedom! Freedom! Freedom! And in resounding song let them repeat their simple call: Freedom! Freedom! Freedom!   Here has Justice erected its Throne which vile oppression ignores and, on its glorious stamp let us rejoice Freedom, freedom, freedom This innocent and beautiful land, which owes its name to Bolívar, is the happy homeland where mankind enjoys the benefits of good fortune and peace Is the happy homeland where mankind enjoys the benefits of good fortune and peace   If a foreigner may, any given day even attempt to subjugate Bolivia, let him prepare for a fatal destiny, which menaces such brave aggressor For the sons of the mighty Bolívar have sworn, thousands upon thousands of times, to die rather than see the country’s majestic banner humiliated To die rather than see the country’s majestic banner humiliated ",BOL
BR," The Ypiranga’s placid banks heard  The resounding shouting of a heroic people And the sun of freedom, in bright rays, Shone at this moment in the homeland’s skies As the promise of this equality Was secured by our strong arms, In your bosom, O Freedom, We are ready to die  O beloved, idolized homeland, hail, hail! Brazil, a vivid dream, a lively ray Of love and hope settles on the earth, As in your beautiful sky, smiling and limpid, The image of the Southern Cross shines resplendent A giant by nature, you are beautiful, Strong, an intrepid colossus, And your future mirrors this grandeur   O land we adore, among a thousand others You are the beloved one You are the gentle mother of the sons of this land, Beloved homeland, Brazil!  Eternally laid in a splendid cradle, To the sound of the sea and the light from the depths of the sky, Brazil, you gleam, fleuron of the Americas, Illuminated by the sun of the New World Your smiling, lovely fields have more flowers Than the most attractive land elsewhere, Our forests have more life, Our life in your bosom more love  O beloved, idolized homeland, hail, hail! Brazil, may you have as eternal symbol The starry banner you display, And may the green laurel of this pennant speak Of peace in the future and glory in the past But if you raise a strong cudgel in the name of justice, You will see that a son of yours does not run from a fight, Nor does one who adores you fear death ",BRA
BS,"Lift up your head to the rising sun, Bahamaland; March on to glory, your bright banners waving high See how the world marks the manner of your bearing! Pledge to excel through love and unity Pressing onward, march together to a common loftier goal; Steady sunward, though the weather hide the wide and treacherous shoal Lift up your head to the rising sun, Bahamaland; Till the road you’ve trod Lead unto your God, March on, Bahamaland!",BHS
BT,"In the Kingdom of Druk, where cypresses grow, Refuge of the glorious monastic and civil traditions, The King of Druk, precious sovereign His being is eternal, his reign prosperous, The enlightenment teachings thrive and flourish, May the people shine like the sun of peace and happiness!",BTN
BW," This land of ours, Is a gift from God, An inheritance from our fore-fathers, May it always be at peace   Awake, awake, O men, awake! Arise, O women, arise! be energised, Let us work together to serve, Our land  Beautiful name of fame Of the nation of Botswana Through harmonious relations and reconciliation Bound together ",BWA
BY," We, the Belarusians, peaceful people, Our heart is to our native land, We maintain generous friendship and gain our powers Within the industrious, free family   Glory to the bright name of our land, Glory to the fraternal union of our peoples! Our beloved mother-Motherland, Long you live and flourish, Belarus!  Together with brothers, with fortitude, during centuries We guarded our native thresholds, In struggles for freedom, in struggles for fate, We have been gaining our banner of victories   The friendship of peoples (which is) the power of peoples Is our venerable, sunny path You soar up proudly, into the bright heights, The banner of victory, the banner of joy! ",BLR
BZ," O, land of the free by the Carib Sea, our manhood we pledge to thy liberty! No tyrants here linger, despots must flee This tranquil haven of democracy The blood of our sires which hallows the sod, Brought freedom from slavery oppression’s rod, By the might of truth and the grace of God No longer shall we be hewers of wood  Arise! ye sons of the Baymen’s clan, put on your armour, clear the land! Drive back the tyrants, let despots flee- Land of the Free by the Carib Sea!  Nature has blessed thee with wealth untold, O’er mountains and valleys where praries roll; Our fathers, the Baymen, valiant and bold Drove back the invader; this heritage hold From proud Rio Hondo to old Sarstoon’ Through coral isle, over blue lagoon; Keep watch with the angels, the stars and moon; For freedom comes tomorrow’s noon ",BLZ
CA,"O Canada!  Our home and native land!  True patriot love in all of us command  With glowing hearts we see thee rise,  The True North strong and free!  From far and wide,  O Canada, we stand on guard for thee  God keep our land glorious and free!  O Canada, we stand on guard for thee  O Canada, we stand on guard for thee",CAN
CD,"CHOIR: Arise, Congolese, united by fate, United in the struggle for independence, Let us hold up our heads, so long bowed, And now, for good, let us keep moving boldly ahead, in peace Oh, ardent people, by hard work we shall build, In peace, a country more beautiful than before VERSE: Countrymen, sing the sacred hymn of your solidarity, Proudly salute the golden emblem of your soverignity, Congo REFRAIN: Blessed gift Congo of our forefathers Congo, Oh country Congo that we love Congo, We shall people your soil and ensure your greatness th June Oh gentle sun th June of th June, Sacred day Be witness sacred day of the immortal oath of freedom That we hand on to our children for ever",COD
CF,"Oh! Central Africa, cradle of the Bantu! Take up again your right to respect, to life! Long subjugated, long scorned by all, But, from today, breaking tyranny’s hold Through work, order and dignity You reconquer your rights, your unity, And to take this new step The voice of our ancestors call us   To work! In order and dignity, in the respect for rights and in unity, Breaking poverty and tyranny, Holding high the flag of the Fatherland",CAF
CG," On this day the sun rises And our Congo stands resplendent A long night is ended, a great happiness has come Let us all, with wild joyfulness, sing The song of freedom   Arise, Congolese, proud every man, Proclaim the unity of our nation Let us forget what divides us And become more united than ever Let us live our motto: Unity, work, progress Let us live our motto: Unity, work, progress  From the forest to the bush, From the bush to the ocean, One people, one soul, One heart, ardent and proud Let us all fight, every one of us, For our black country   And if we have to die, What does it really matter? Our children Everywhere will be able to say how Triumph comes through battle, And in the smallest village Sing beneath our three colours ",COG
CH," When the morning skies grow red  And o’er their radiance shed,  Thou, O Lord, appeareth in their light  When the Alps glow bright with splendour,  Pray to God, to Him surrender,  For you feel and understand,  For you feel and understand,  That he dwelleth in this land  That he dwelleth in this land   In the sunset Thou art nigh  And beyond the starry sky,  Thou, O loving Father, ever near  When to Heaven we are departing,  Joy and bliss Thou’lt be imparting,  For we feel and understand  For we feel and understand  That Thou dwellest in this land  That Thou dwellest in this land   When dark clouds enshroud the hills  And gray mist the valley fills,  Yet Thou art not hidden from Thy sons  Pierce the gloom in which we cower  With Thy sunshine’s cleansing power  Then we’ll feel and understand  Then we’ll feel and understand  That God dwelleth in this land  That God dwelleth in this land   Towards us in the wild storm coming, You yourself give us resistance and stronghold, You, almighty ruling, rescuing! During horror and nights of thunderstorms Let us childlike trust Him! Yes, we feel and understand; Yes, we feel and understand That God dwelleth in this land That God dwelleth in this land",CHE
CI,"We salute you, O land of hope, Country of hospitality; Thy gallant legions Have restored thy dignity  Beloved Ivory Coast, thy sons, Proud builders of thy greatness, All mustered together for thy glory, In joy will construct thee  Proud citizens of the Ivory Coast, the country calls us If we have brought back liberty peacefully, It will be our duty to be an example Of the hope promised to humanity, Forging unitedly in new faith The Fatherland of true brotherhood",CIV
CK,To God Almighty Ruler of the isles of the sea Hearken our call Protect us Crown us with liberty May peace and love reign supreme throughout the land,COK
CL,"Chile, your sky is a pure blue, Pure breezes blow across you, And your field, embroidered with flowers, Is a happy copy of Eden Majestic is the snow-covered mountain That was given to you by the Lord as a bastion, That was given to you by the Lord as a bastion, And the sea that tranquilly washes your shore Promises future splendour for you, And the sea that tranquilly washes your shore Promises future splendour for you  Sweet fatherland, accept the vows With which Chile swore at your altars: Either you’ll be the tomb of the free Or the refuge against oppression Either you’ll be the tomb of the free Or the refuge against oppression Either you’ll be the tomb of the free Or the refuge against oppression Or the refuge against oppression Or the refuge against oppression",CHL
CM," O Cameroon, thou cradle of our fathers,  Holy Shrine where in our midst they now repose,  Their tears and blood and sweat thy soil did water,  On thy hills and valleys once their tillage rose  Dear Fatherland, thy worth no tongue can tell!  How can we ever pay thy due?  Thy welfare we will win in toil and love and peace,  Will be to thy name ever true!   Land of Promise, land of Glory!  Thou, of life and joy, our only store!  Thine be honour, thine devotion,  And deep endearment, for evermore  From Shari, from where the Mungo meanders  From along the banks of lowly Boumba Stream,  Muster thy sons in union close around thee,  Mighty as the Buea Mountain be their team;  Instil in them the love of gentle ways,  Regret for errors of the past;  Foster, for Mother Africa, a loyalty  That true shall remain to the last ",CMR
CN,"Arise, ye who refuse to be slaves! With our flesh and blood, let us build our new Great Wall! The Chinese nation faces its greatest danger From each one the urgent call for action comes forth Arise! Arise! Arise! Millions with but one heart, Braving the enemy’s fire March on! Braving the enemy’s fire March on! March on! March on!",CHN
CO," O unfading glory! O immortal joy! In furrows of pain goodness germinates now  goodness germinates now  O unfading glory! O immortal joy! In furrows of pain goodness germinates now  The horrible night has ceased, the sublime liberty spills the auroras of its invincible light All humanity, moans within its chains, understands the words of He who died on the Cross   “Independence!” cries the American world; soaked in blood of heroes the land of Columbus Still, one great principle, “The king is not sovereign”, resounds, and those who suffer bless their passion   The Orinoco’s bed fills with the remains, of blood and tears a river is there seen flowing In Bárbula they don’t know the souls nor the eyes, if admiration or horror feel or suffer   On the shores of the Caribbean, famished, the people fight, horrors preferring to treacherous health O, aye! for Cartagena the abnegation is much, and the shambles of death its courage despises   From Boyacá in the fields, the genius of glory, for every ear a hero undefeated crowned Soldiers without breastplate won victory; their virile breath as shield served   Bolivar crosses the Andes that two oceans bathe, swords as sparks shine in Junín Untameable centaurs descend to the plains, and a prescience begins to be felt, of the epic the end   The victorious trumpet in Ayacucho thunders, that in every triumph grows its formidable sound In its expansive thrust Liberty is worn for the first time, from the American sky a pavilion forming   The virgin her hairs pulls out in agony and from her beloved widowed hangs them on a cypress Regretting her hope covered by a cold headstone, but glorious pride hallows her fair skin   Thus the motherland is formed, Thermopylaes are breaking forth; constellation of cyclops its night brightened The trembling flower finding the wind mortal, underneath the laurels safety sought   But it’s not complete glory to defeat in battle, that the arm that fights is encouraged by truth Independence alone The great clamour doesn’t silence; if the sun illuminates everyone, justice is liberty   From men the rights Nariño’s preaching, the soul of struggle prophetically taught Ricaurte in San Mateo, in atoms flying, “Duty before life,” with flames he wrote ",COL
CR,"Noble homeland, your beautiful flag Express for us your life: Under the limpid blue of your skies, Peace reigns, white and pure  In the tenacious battle of fruitful toil, That brings a glow to men’s faces, Your sons, simple farm hands, Gained eternal renown, esteem and honour  Gained eternal renown, esteem and honour  Hail gentle country, hail loving mother! If anyone should attempt to besmirch your glory, You will see your people, valiant and virile, Exchange their rustic tools for weapons  Hail O homeland! Your prodigal soil Gives us sweet sustenance and shelter Under the limpid blue of your sky, May peaceful labour ever continue",CRI
CU,"Hasten to battle, men of Bayamo, For the homeland looks proudly to you You do not fear a glorious death, Because to die for the country is to live  To live in chains is to live  in dishonour and ignominy Hear the clarion call, Hasten, braves ones, to battle! To live in chains is to live  in dishonour and ignominy Hear the clarion call, Hasten, braves ones, to battle!",CUB
CV,"Sing, brother Sing, my brother For Freedom is a hymn And Man a certainty  With dignity, bury the seed In the dust of the naked island: In life ís precipice Hope is as big as the sea  Which embraces us Unwavering sentinel of the seas and winds Between the stars and the Atlantic ocean Sing the Chant of Freedom  Sing, brother Sing, my brother For Freedom is a hymn And Man a certainty",CPV
CW," Let’s raise our voice and sing the grandeur of Curaçao; Curaçao, small island, a boulder in the sea!  Curaçao we love you above all nations Your glory we sing with all our hearts  Our people have their struggle but we always have our faith to accomplish always victory through labour!  Let us give our share for the island to prosper Let us unite forces so we can triumph  To our fatherland we demonstrate honour and loyalty, as we do to the flag the union of our nation  Our lives would be little to give for our country, fighting united for liberty, love and understanding  And when we are far from home we all recall Curaçao, its sun and beaches the pride of us all  Let us praise our Creator always and forever, for He has made us worthy to be Curaçaoan!¹",CUW
CY,"I shall always recognise you By the dreadful sword you hold, As the earth, with searching vision, You survey, with spirit bold  ‘Twas the Greeks of old whose dying Brought to birth our spirit free Now, with ancient valour rising, Let us hail you, oh Liberty! Now, with ancient valour rising, Let us hail you, oh Liberty! Now, with ancient valour rising, Let us hail you, oh Liberty!",CYP
CZ,"Where is my home, where is my home? Water roaring across meadows, Pines whisper across crags, In the garden shine the blossoms, Paradise on earth it is to see! And that’s the beautiful land, Czech land, my home Czech land, my home",CZE
DE,"Unity and Right and Freedom For the German Fatherland! After these let us all strive Brotherly with heart and hand! Unity and Right and Freedom Are the pledge of happiness Bloom in the splendour of this happiness, Bloom, my German Fatherland! Bloom in the splendour of this happiness, Bloom, my German Fatherland!",DEU
DJ,"Arise with strength! For we have raised our flag, The flag which has cost us dear With extremes of thirst and pain  Our flag, whose colours are the everlasting green of the earth, The blue of the sky, and white, the colour of peace; And in the centre the red star of blood  Oh flag of ours, what a glorious sight!",DJI
DK," I know a lovely land  With spreading, shady beeches  Near Baltic’s salty strand;  Near Baltic’s salty strand;   Its hills and valleys gently fall,  Its ancient name is Denmark,  And it is Freya’s hall  And it is Freya’s hall    There in the ancient days  The armoured vikings rested  Between their bloody frays  Between their bloody frays  Then they went forth the foe to face,  Now found in stone-set barrows,  Their final resting place  Their final resting place    This land is still as fair,  The sea is blue around it,  And peace is cherished there  And peace is cherished there  Strong men and noble women still  Uphold their country’s honour  With faithfulness and skill  With faithfulness and skill    Hail King and Fatherland Hail every Danish person  For doing what he can For doing what he can  The Viking land for Danes is true  With fields and waving beeches  By a sea so blue  By a sea so blue",DNK
DM," Isle of beauty, isle of splendor, Isle to all so sweet and fair, All must surely gaze in wonder At thy gifts so rich and rare Rivers, valleys, hills and mountains, All these gifts we do extol Healthy land, so like all fountains, Giving cheer that warms the soul  Dominica, God hath blest thee With a clime benign and bright, Pastures green and flowers of beauty Filling all with pure delight, And a people strong and healthy, Full of godly, rev’rent fear May we ever seek to praise Thee For these gifts so rich and rare  Come ye forward, sons and daughters Of this gem beyond compare Strive for honour, sons and daughters, Do the right, be firm, be fair Toil with hearts and hands and voices We must prosper! Sound the call, In which ev’ryone rejoices, “All for Each and Each for All”",DMA
DO," Valients of Quisqueya, Let us sing with strong feeling And let us show to the world Our invincible, glorious banner  Hail, O people who, strong and intrepid, Launched into war and went to death! Under a warlike menace of death, You broke your chains of slavery  No country deserves to be free If it is an indolent and servile slave, If the call does not grow loud within it, Tempered by a virile heroism  But the brave and indomitable Quisqueya Will always hold its head high, For if it were a thousand times enslaved, It would a thousand times regain liberty  If it will be exposed to ruse and deceit Unto contempt of a real imposer, On to Las Carreras! Beler! …it were places Where the traces of glory are found  Where on the top of the heroic bastion, The word of the libarated became flesh, Where the genius of Sánchez and Duarte Taught to be free or to die  And if an unattended leader the splendor Of these glorious events could ignore, One has seen in Capotillo in the war The flag of fire wave  And the fire that lets the proud lion Of Castilla become stupefied, Removes him from the glorious beaches Where the crossed banner waves  Compatriots, let us proudly Show our face, from today prouder than ever; Quisqueya may be destroyed But a slave again, never!  It is a sanctuary of love that every character Of the fatherland feels alive! And it is his coat of arms, the right; And it is his device: be free or die  Liberty that still rises cool-bloodedly The victory in her triumphal car And the clarion of war re-echoes Proclaiming his immortal glory  Liberty! That the echo’s touch While they’re full of noble tension Our fields of glory repeat Liberty! Liberty! Liberty!",DOM
DZ," We swear by the lightning that destroys, By the streams of generous blood being shed, By the bright flags that wave, Flying proudly on the high djebels, That we are in revolt, whether to live or to die, We are determined that Algeria should live, So be our witness -be our witness -be our witness!  We are soldiers in revolt for truth And we have fought for our independence When we spoke, nobody listened to us, So we have taken the noise of gunpowder as our rhythm And the sound of machine guns as our melody, We are determined that Algeria should live, So be our witness -be our witness -be our witness!  O France, the time of reproof is over And we have ended it as a book is ended; O France, this is the day of reckoning So prepare to receive from us our answer! In our revolution is the end of empty talk; We are determined that Algeria should live, So be our witness -be our witness -be our witness!  From our heroes we shall make an army come to being, From our dead we shall build up a glory, Our spirits shall ascend to immortality And on our shoulders we shall raise the Standard To the nation’s Liberation Front we have sworn an oath, We are determined that Algeria should live, So be our witness -be our witness -be our witness!  The cry of the Fatherland sounds from the battlefields Listen to it and answer the call! Let it be written with the blood of martyrs And be read to future generations Oh, Glory, we have held out our hand to you, We are determined that Algeria should live, So be our witness -be our witness -be our witness!",DZA
